profile,variant,change,vulnerability_id
ci,clamav-on,added,CVE-2026-20337
ci,clamav-on,added,CVE-2026-20338
ci,clamav-on,added,CVE-2026-20339
ci,clamav-on,added,CVE-2026-20345
ci,clamav-on,added,CVE-2026-20346
ci,clamav-on,added,CVE-2026-20347
ci,clamav-on,added,CVE-2026-20348
dev,clamav-on,added,CVE-2026-20337
dev,clamav-on,added,CVE-2026-20338
dev,clamav-on,added,CVE-2026-20339
dev,clamav-on,added,CVE-2026-20345
dev,clamav-on,added,CVE-2026-20346
dev,clamav-on,added,CVE-2026-20347
dev,clamav-on,added,CVE-2026-20348
