profile,variant,vulnerabilityId,severity,ecosystem,target,package,installedVersion,fixedVersion,title,url
ci,default,CVE-2026-56855,UNKNOWN,gobinary,kaniko/executor,golang.org/x/crypto,v0.55.0,0.56.0,"Previously, after a channel has been established, a malicious peer cou ...",https://avd.aquasec.com/nvd/cve-2026-56855
ci,default,CVE-2026-78662,UNKNOWN,gobinary,kaniko/executor,golang.org/x/crypto,v0.55.0,0.56.0,"Previously, a channel registered in the mux's chanList is not usable u ...",https://avd.aquasec.com/nvd/cve-2026-78662
ci,default,GO-2026-5932,UNKNOWN,gobinary,kaniko/executor,golang.org/x/crypto,v0.55.0,,"The golang.org/x/crypto/openpgp package is unmaintained, unsafe by design, and has known security issues",
ci,default,GHSA-cq8v-f236-94qc,LOW,cargo,usr/local/rustup/toolchains/nightly-2026-09-04-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/portable-simd/Cargo.lock,rand,0.9.2,"0.9.3, 0.10.1, 0.8.6",Rand is unsound with a custom logger using rand::rng(),https://github.com/advisories/GHSA-cq8v-f236-94qc
ci,default,GHSA-7gcf-g7xr-8hxj,MEDIUM,cargo,usr/local/rustup/toolchains/nightly-2026-09-04-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/stdarch/Cargo.lock,serde_with,3.18.0,3.21.0,serde_with: KeyValueMap serialization panics on empty sequence or map entries,https://github.com/advisories/GHSA-7gcf-g7xr-8hxj
ci,playwright-on,CVE-2026-56855,UNKNOWN,gobinary,kaniko/executor,golang.org/x/crypto,v0.55.0,0.56.0,"Previously, after a channel has been established, a malicious peer cou ...",https://avd.aquasec.com/nvd/cve-2026-56855
ci,playwright-on,CVE-2026-78662,UNKNOWN,gobinary,kaniko/executor,golang.org/x/crypto,v0.55.0,0.56.0,"Previously, a channel registered in the mux's chanList is not usable u ...",https://avd.aquasec.com/nvd/cve-2026-78662
ci,playwright-on,GO-2026-5932,UNKNOWN,gobinary,kaniko/executor,golang.org/x/crypto,v0.55.0,,"The golang.org/x/crypto/openpgp package is unmaintained, unsafe by design, and has known security issues",
ci,playwright-on,GHSA-cq8v-f236-94qc,LOW,cargo,usr/local/rustup/toolchains/nightly-2026-09-04-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/portable-simd/Cargo.lock,rand,0.9.2,"0.9.3, 0.10.1, 0.8.6",Rand is unsound with a custom logger using rand::rng(),https://github.com/advisories/GHSA-cq8v-f236-94qc
ci,playwright-on,GHSA-7gcf-g7xr-8hxj,MEDIUM,cargo,usr/local/rustup/toolchains/nightly-2026-09-04-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/stdarch/Cargo.lock,serde_with,3.18.0,3.21.0,serde_with: KeyValueMap serialization panics on empty sequence or map entries,https://github.com/advisories/GHSA-7gcf-g7xr-8hxj
ci,clamav-on,CVE-2026-20337,HIGH,wolfi,/,clamav-1.5,1.5.2-r7,1.5.4-r0,CVE-2026-20337 affecting package clamav for versions less than 1.5.4-1,https://avd.aquasec.com/nvd/cve-2026-20337
ci,clamav-on,CVE-2026-20338,HIGH,wolfi,/,clamav-1.5,1.5.2-r7,1.5.4-r0,CVE-2026-20338 affecting package clamav for versions less than 1.5.4-1,https://avd.aquasec.com/nvd/cve-2026-20338
ci,clamav-on,CVE-2026-20339,HIGH,wolfi,/,clamav-1.5,1.5.2-r7,1.5.4-r0,A vulnerability in the PESpin file format parser of ClamAV could allow ...,https://avd.aquasec.com/nvd/cve-2026-20339
ci,clamav-on,CVE-2026-20345,HIGH,wolfi,/,clamav-1.5,1.5.2-r7,1.5.4-r0,A vulnerability in the GPT file format parser of ClamAV could allow an ...,https://avd.aquasec.com/nvd/cve-2026-20345
ci,clamav-on,CVE-2026-20346,HIGH,wolfi,/,clamav-1.5,1.5.2-r7,1.5.4-r0,A vulnerability in the PDF file format parser of ClamAV could allow an ...,https://avd.aquasec.com/nvd/cve-2026-20346
ci,clamav-on,CVE-2026-20347,HIGH,wolfi,/,clamav-1.5,1.5.2-r7,1.5.4-r0,A vulnerability in the Mach-O file format parser of ClamAV could allow ...,https://avd.aquasec.com/nvd/cve-2026-20347
ci,clamav-on,CVE-2026-20348,HIGH,wolfi,/,clamav-1.5,1.5.2-r7,1.5.4-r0,A vulnerability in the XAR file format parser of ClamAV could allow an ...,https://avd.aquasec.com/nvd/cve-2026-20348
ci,clamav-on,CVE-2026-20337,HIGH,wolfi,/,clamav-1.5-clamdscan,1.5.2-r7,1.5.4-r0,CVE-2026-20337 affecting package clamav for versions less than 1.5.4-1,https://avd.aquasec.com/nvd/cve-2026-20337
ci,clamav-on,CVE-2026-20338,HIGH,wolfi,/,clamav-1.5-clamdscan,1.5.2-r7,1.5.4-r0,CVE-2026-20338 affecting package clamav for versions less than 1.5.4-1,https://avd.aquasec.com/nvd/cve-2026-20338
ci,clamav-on,CVE-2026-20339,HIGH,wolfi,/,clamav-1.5-clamdscan,1.5.2-r7,1.5.4-r0,A vulnerability in the PESpin file format parser of ClamAV could allow ...,https://avd.aquasec.com/nvd/cve-2026-20339
