profile,variant,gate,controlled,size_bytes,delta_bytes,apk_count,unique_ids,raw_critical,raw_high,raw_medium,raw_low,raw_unknown,unique_critical,unique_high,unique_medium,unique_low,unique_unknown,image_id,lock_sha256
ci,default,PASS,True,1230412695,0,148,5,0,0,1,1,3,0,0,1,1,3,sha256:02cd04eb5ad0080cd3a073103294aa8f85785cb185b1c8290c06e81dbd1cac1c,41293e9e0f092d7b3d9e7cb352a7c9f834ceeeced765e56c869fc27699e44fb9
ci,playwright-on,PASS,True,1648792742,418380047,204,5,0,0,1,1,3,0,0,1,1,3,sha256:997a796a1107539cffab1a696c90cdecb96b13c687eb9f1eaf6b6f88511e1c9d,1d7208d14de22ed19dac7315eec01e1037040d5185b249f16249eb96dabcbb82
ci,clamav-on,FAIL,True,1254108967,23696272,158,12,0,56,1,1,3,0,7,1,1,3,sha256:5e857b8d297fce9059e447b7a67bba95532ef9fd0b2711892ff83f2408bcacd4,679d3e07cbfda4535f9e6523d19fb749b0419246177a976b47f9fd785ed8c8ed
ci,utilities-none,PASS,True,1054455344,-175957351,132,5,0,0,1,1,3,0,0,1,1,3,sha256:90e1e8c63873433141c398b1dbb099b011c87339ab67a2073a4410d1fdd0f0c8,69de1d82adea6384c96c8b9e855a72380d31271261fff7b0de63d9f875a826b8
ci,utilities-all,PASS,True,1241898242,11485547,176,5,0,0,1,1,3,0,0,1,1,3,sha256:57b8282647f6d77b959faafd3bd5d1bdabfa4ff90dc38e3872e97237d3abdab9,5147d0b5de205b1d48975d510525f39a78b4b24140c6f7fb367cb92a7e7f71e8
dev,default,PASS,True,2243251868,0,160,2,0,0,1,1,0,0,0,1,1,0,sha256:1c2b4733317902e377bdb24d7f76e89e1d558302bfd5de4289ce7f061e42c632,ead3ac5aa34579f61f287e8a6a722572cd5af6ac5affb2e311f73b2e42ab649e
dev,playwright-on,PASS,True,2661629013,418377145,216,2,0,0,1,1,0,0,0,1,1,0,sha256:ad77a7486a107eba88dd05f75656009137cb98a836ff6f9cfdefdc1a2f9b389d,9e6ca172b4338c0ff31c61ffca7b11ef30c8c88eb2d804ecd9dd1647cbf8cc8d
dev,clamav-on,FAIL,True,2266937915,23686047,170,9,0,56,1,1,0,0,7,1,1,0,sha256:c37c68dcadda5f6e8aca38537d31a43bd0dde29689cb7d726d8a8bded3cbfca4,119c6a3740a9821ba974a8fcc3867ba33b3a40beb777c8527d34a0a28d6791bc
dev,utilities-none,PASS,True,2067273349,-175978519,144,2,0,0,1,1,0,0,0,1,1,0,sha256:0eb3d0acf54dd22ffbdda0b4340402f8a84787192b39ccffccd9df08208c81e8,1137de85b9b7dfb3b16e07c25df9c20e6af5651a8a32a7f0d54c8fa171d33c25
dev,utilities-all,PASS,True,2253723571,10471703,185,2,0,0,1,1,0,0,0,1,1,0,sha256:79b1d7cf9eca907a2025548aa17b350f1ec19c14e210354fcce46e001250b471,62b4cb9b1a6bf1a0434f6f6b562c334c9beea3c03a9fd7244704ba1e3444c656
